label,t,centroid_z
3,18,2.313842746400886
27,18,2.925049504950495
32,18,2.48
69,18,2.541794019933555
75,18,3.622547425474255
78,18,4.061480206540447
116,18,4.96
135,18,4.913458445040215
175,18,4.648888888888889
253,18,6.156691176470588
256,18,4.96
257,18,5.89397435897436
258,18,5.670546265328874
273,18,5.437098255280073
289,18,6.804653465346535
314,18,6.441201044386423
315,18,7.2757
322,18,7.4399999999999995
326,18,7.4399999999999995
329,18,7.4399999999999995
330,18,8.340246103363413
335,18,7.484653739612189
337,18,8.512261818181818
369,18,9.077631284916201
383,18,9.525285285285285
393,18,10.977535254445124
394,18,9.92
395,18,9.92
412,18,11.311908831908832
414,18,9.92
426,18,12.348093023255814
429,18,11.492425531914893
437,18,11.58046511627907
442,18,12.809235127478752
443,18,13.783981042654029
444,18,12.8574531835206
447,18,13.483747980613893
452,18,13.12093023255814
453,18,13.717874396135265
455,18,14.676648841354723
457,18,14.314885245901639
458,18,13.64
460,18,13.64
461,18,13.64
462,18,13.64
467,18,14.069887359198999
469,18,14.879999999999999
477,18,14.879999999999999
479,18,16.12
485,18,16.514108527131782
486,18,17.046832116788323
495,18,17.427731092436975
496,18,17.36
497,18,18.170313778990447
498,18,18.408412017167382
499,18,18.211102204408817
502,18,17.36
504,18,19.081561100447857
509,18,19.56412514484357
514,18,20.492739273927395
516,18,20.386948640483382
517,18,21.16213675213675
520,18,21.08
521,18,21.08
522,18,22.59289575289575
523,18,21.94893939393939
524,18,23.56
525,18,23.56
526,18,23.56
3,19,2.4337627118644067
68,19,2.48
69,19,2.48
75,19,3.473595425303788
78,19,3.6410074074074075
117,19,4.96
118,19,5.347098445595855
167,19,7.242692778457772
169,19,3.817169590643275
175,19,4.915005336179296
253,19,6.2
256,19,4.96
257,19,6.2
258,19,5.357348066298342
273,19,3.7199999999999998
289,19,6.84274322169059
290,19,7.080094007050529
293,19,6.229839572192514
314,19,6.49048951048951
315,19,6.958243243243244
321,19,8.48421052631579
326,19,7.4399999999999995
330,19,8.203002345582485
337,19,9.92
340,19,9.446292134831461
369,19,8.82925925925926
383,19,9.634659090909091
388,19,11.16
412,19,11.148076923076923
417,19,9.92
418,19,14.879999999999999
427,19,12.918306878306877
430,19,12.4
437,19,11.55739570164349
441,19,14.013897389738974
442,19,13.095303643724694
447,19,13.64
452,19,12.641520190023751
453,19,13.313612334801762
458,19,13.137424242424242
459,19,14.48464935064935
460,19,12.994097035040431
461,19,16.12
467,19,13.782468085106384
477,19,15.474285714285715
479,19,17.47579766536965
480,19,17.525549738219894
485,19,16.12
486,19,18.150688259109312
492,19,19.84
493,19,18.6
495,19,17.36
497,19,17.90305278174037
499,19,19.08222222222222
502,19,17.36
504,19,18.984940554821662
509,19,19.442121739130435
514,19,19.84
515,19,21.08
516,19,20.498289786223275
518,19,21.08
519,19,21.08
520,19,21.056938483547924
522,19,23.56
524,19,23.56
527,19,0.0
528,19,3.103257443082312
529,19,6.2
531,19,8.68
532,19,13.64
536,19,19.84
537,19,21.08
46,20,5.778555729984301
69,20,3.290632183908046
78,20,4.0764317180616745
117,20,4.96
175,20,3.869836708033965
181,20,7.836190476190477
256,20,4.96
257,20,6.038329113924051
258,20,5.79933962264151
261,20,6.579223300970874
262,20,9.693294392523365
273,20,4.96
276,20,5.894539190353144
289,20,7.4399999999999995
290,20,7.059916782246879
293,20,5.593585657370518
314,20,6.438914518317503
315,20,6.859883040935673
323,20,8.238976857490865
330,20,7.868363636363637
337,20,13.64
345,20,14.951366906474819
352,20,7.416416416416416
369,20,9.34759842519685
383,20,9.92
387,20,9.953155080213904
388,20,9.92
392,20,11.16
412,20,10.620739549839229
417,20,10.624480369515013
426,20,11.16
427,20,11.16
432,20,13.64
437,20,11.582958904109589
438,20,12.4
440,20,15.200319573901465
442,20,12.660706713780918
447,20,13.238568935427574
452,20,12.964088176352705
453,20,13.02910277324633
458,20,13.64
460,20,12.57988732394366
461,20,18.231843393148452
467,20,14.063512637718729
477,20,15.595494252873564
479,20,18.101824561403507
486,20,20.653668763102726
491,20,15.643604743083003
492,20,20.507088607594934
493,20,18.6
502,20,17.36
504,20,18.980443764345832
509,20,19.696125860373648
516,20,20.530738255033555
520,20,21.08
522,20,23.56
523,20,23.56
527,20,0.0
528,20,2.646923076923077
529,20,6.2
531,20,9.52116479152879
532,20,13.64
536,20,19.47123222748815
537,20,21.28124590163934
538,20,1.525686274509804
539,20,3.0626506024096387
541,20,7.897106481481481
542,20,7.4399999999999995
543,20,7.4399999999999995
544,20,8.68
545,20,9.162634730538922
550,20,10.89759336099585
551,20,9.524180790960452
552,20,9.92
553,20,11.16
554,20,11.16
555,20,12.4
557,20,19.501433447098975
558,20,20.243117870722436
559,20,19.84
560,20,23.456666666666667
47,21,4.085260869565218
48,21,4.96
58,21,4.3638814814814815
68,21,2.48
69,21,1.366530612244898
75,21,3.3190419161676643
78,21,5.689982608695652
134,21,12.942798459563543
170,21,5.4736401673640165
171,21,8.801880341880342
175,21,3.7589237668161433
256,21,5.062330097087378
257,21,6.2
258,21,5.904684210526316
273,21,5.49234344738541
289,21,7.4399999999999995
290,21,7.393030303030303
301,21,7.4399999999999995
314,21,6.450913838120105
315,21,7.029042145593869
332,21,7.557239475500345
348,21,9.92
371,21,10.051552062868367
383,21,9.92
388,21,9.92
392,21,11.16
394,21,9.068252427184465
417,21,11.16
428,21,11.16
437,21,11.709198738170347
438,21,13.231197301854975
441,21,16.12
442,21,13.012640949554896
447,21,12.889071487263763
452,21,13.025429071803853
453,21,12.990390738060782
457,21,16.126927374301676
460,21,12.965892714171337
467,21,14.024955223880598
470,21,16.179094519459888
475,21,16.12
477,21,15.197459095283927
479,21,17.976331360946745
480,21,17.732332439678284
485,21,16.540366492146596
486,21,20.08735332464146
493,21,17.36
501,21,16.898002980625932
502,21,17.36
504,21,18.442686567164177
509,21,19.47443682664055
516,21,20.61386387434555
520,21,21.08
522,21,23.56
527,21,0.0
528,21,2.48
529,21,6.626834170854272
530,21,8.68
531,21,9.906429548563612
532,21,14.879999999999999
534,21,16.50192
537,21,21.08
547,21,10.341619121048574
550,21,12.277641395908542
551,21,10.61345971563981
553,21,11.014479338842975
559,21,18.6
560,21,23.56
561,21,2.48
563,21,4.564255319148936
564,21,6.041555555555555
565,21,4.96
566,21,6.033076923076923
568,21,7.4399999999999995
569,21,8.083846153846153
570,21,8.68
571,21,9.92
572,21,10.773319238900633
573,21,12.110251256281408
574,21,11.529974204643164
575,21,14.879999999999999
576,21,14.879999999999999
577,21,14.879999999999999
578,21,21.75415662650602
579,21,23.56
37,22,3.2824367816091953
38,22,2.8882461538461537
42,22,3.545951807228916
47,22,3.6308120649651974
68,22,2.48
69,22,2.48
78,22,6.573853820598006
123,22,5.022652631578947
133,22,10.701739130434783
135,22,5.113372228704784
159,22,1.7698516320474778
164,22,2.48
175,22,3.7199999999999998
256,22,4.96
257,22,6.2
258,22,6.2
259,22,4.96
262,22,8.499072039072038
273,22,5.810948999354422
289,22,7.4399999999999995
290,22,7.4399999999999995
297,22,7.5835185185185185
314,22,6.394038748137109
315,22,6.7177837837837835
321,22,8.747883211678833
371,22,9.286145251396649
383,22,9.721960072595282
388,22,9.92
392,22,11.16
394,22,9.92
437,22,11.709121540312875
442,22,12.899444444444445
447,22,12.759057239057238
452,22,12.933333333333334
453,22,12.899724655819776
460,22,12.027049808429119
467,22,14.09848085373509
485,22,16.12
486,22,19.232525252525253
489,22,18.647281672816728
493,22,17.218131788559017
494,22,18.462827041264266
500,22,17.36
502,22,17.699937694704047
504,22,18.6
509,22,19.6822450888681
