label,t,centroid_z
16,9,2.8804166666666666
17,9,3.1441595441595442
18,9,3.0256
19,9,3.827734241908007
24,9,2.673246753246753
34,9,3.251260053619303
54,9,2.692686084142395
59,9,2.48
68,9,4.204375
73,9,2.48
92,9,2.6832786885245903
111,9,2.6799232245681384
136,9,2.7954498448810754
140,9,3.83625
150,9,2.713097072419106
173,9,3.0160755508919204
185,9,3.651533742331288
186,9,3.7199999999999998
226,9,5.487149758454106
242,9,5.950880361173815
244,9,4.96
267,9,5.521393034825871
268,9,5.5472040302267
269,9,5.442947368421052
293,9,5.487744
296,9,6.127058823529412
306,9,5.493915756630265
316,9,5.435616438356164
354,9,5.631528150134048
355,9,6.153148614609572
356,9,5.593333333333334
357,9,5.41869918699187
358,9,6.2
359,9,6.2
369,9,8.939022222222222
377,9,8.04739837398374
391,9,8.105771812080537
401,9,8.525751211631665
408,9,8.597333333333333
415,9,8.930128755364807
420,9,8.626666666666667
451,9,8.102336874051593
452,9,8.097777777777777
453,9,7.9397014925373135
454,9,7.928290155440414
475,9,11.298823529411765
476,9,10.843234916559693
477,9,10.450026385224273
486,9,11.315298651252409
494,9,10.712925170068027
535,9,11.89565749235474
538,9,10.48183066361556
539,9,11.560927694406548
555,9,13.303068391866914
558,9,13.128646379853096
561,9,13.02939393939394
564,9,12.96561403508772
579,9,13.910167597765364
585,9,13.07391304347826
590,9,13.065189504373178
594,9,12.930508826583594
595,9,14.716582186821144
596,9,12.98139194139194
597,9,13.64
607,9,15.669973890339426
610,9,15.493297297297298
611,9,15.736727272727274
615,9,16.30528735632184
625,9,15.399944827586207
626,9,15.4929061784897
628,9,19.130748560460653
632,9,18.533401534526853
633,9,17.83464114832536
634,9,17.956284153005466
635,9,17.92930817610063
643,9,18.06732394366197
644,9,17.892617449664428
652,9,17.888377153218496
654,9,20.14138888888889
657,9,20.407272727272726
662,9,19.84
663,9,20.121703853955378
664,9,22.32
665,9,22.32
666,9,22.32
667,9,22.32
668,9,22.32
669,9,22.32
670,9,22.32
671,9,22.32
672,9,22.32
3,10,8.813223140495868
16,10,3.1501549053356284
17,10,3.6598058252427186
18,10,2.741942078364566
35,10,2.48
54,10,2.48
68,10,5.182643391521197
74,10,2.48
75,10,6.401367521367522
85,10,3.484297520661157
109,10,4.3374898785425104
150,10,2.7145945945945944
173,10,4.224245524296675
187,10,7.4399999999999995
226,10,5.499916666666667
267,10,6.386849315068494
268,10,5.52778947368421
269,10,5.461347708894879
271,10,2.48
296,10,8.020234869015356
297,10,5.1802316602316605
316,10,5.2759845559845555
328,10,4.65319587628866
341,10,5.081077441077441
354,10,5.656934306569343
355,10,6.2
357,10,4.96
377,10,8.084270462633452
401,10,8.270972222222223
410,10,10.545040650406504
412,10,7.876155419222904
415,10,10.63663747810858
451,10,8.035540308747857
453,10,7.928811594202898
471,10,10.343615257048093
477,10,7.908444444444445
494,10,10.503939962476549
510,10,10.975501730103804
511,10,9.92
538,10,10.536672629695886
539,10,11.17326203208556
554,10,12.781538461538462
558,10,13.065425742574257
564,10,12.935093596059113
566,10,10.669493670886077
577,10,15.44698080279232
592,10,14.7292817679558
594,10,12.933753280839895
595,10,12.834
596,10,12.988041237113402
604,10,17.74153846153846
611,10,17.995897435897437
615,10,15.68513026052104
625,10,15.372880503144655
628,10,19.077301587301587
631,10,21.08
632,10,18.52289075630252
643,10,18.315833333333334
644,10,17.93061946902655
652,10,17.90871497584541
657,10,18.83219123505976
663,10,20.104957264957264
664,10,22.32
665,10,22.32
666,10,22.32
668,10,22.32
669,10,22.32
670,10,22.32
671,10,22.32
673,10,0.0
674,10,3.0428368794326244
675,10,3.1188480000000003
677,10,5.227939698492462
678,10,3.7199999999999998
681,10,5.4346875
682,10,8.102081447963801
684,10,8.807757575757575
685,10,7.930964467005076
686,10,8.68
687,10,10.47626168224299
688,10,10.56221965317919
689,10,12.964413793103448
690,10,18.113417721518985
697,10,17.958497109826588
701,10,22.32
4,11,2.9606201550387596
16,11,3.1205039370078738
17,11,3.0286725663716814
18,11,2.717537058152794
19,11,2.6992265193370164
35,11,2.48
42,11,7.9398449612403095
43,11,4.448253968253969
60,11,2.48
61,11,6.401686746987952
68,11,2.703888888888889
91,11,6.233513513513514
92,11,5.3993993993994
99,11,4.584810892586989
111,11,4.183296703296703
157,11,5.966887835703002
173,11,4.366757090012331
188,11,6.695636896046852
267,11,5.842307692307693
268,11,5.567197640117994
293,11,4.627068493150685
298,11,8.027656940760389
307,11,4.482716981132076
310,11,2.48
311,11,6.358604651162791
320,11,3.433556231003039
353,11,10.558787878787879
355,11,5.629003436426117
369,11,9.18995670995671
372,11,8.013155555555556
377,11,7.993591359135914
385,11,7.986440677966101
393,11,2.4276517150395778
401,11,9.03341021416804
412,11,6.139757085020243
421,11,10.353110047846888
451,11,8.116982167352537
453,11,7.939071207430341
471,11,10.3163196125908
474,11,10.450547263681592
485,11,10.198367346938776
513,11,10.4842
538,11,10.43750677506775
539,11,11.115142118863048
555,11,17.90334056399132
558,11,13.307978142076504
562,11,16.91867197875166
564,11,12.941763907734057
566,11,9.573953488372094
577,11,13.542180974477958
590,11,12.983715012722646
594,11,12.941024890190336
595,11,12.815987158908507
596,11,13.223056768558953
605,11,17.992350597609562
606,11,18.6
608,11,16.238095238095237
625,11,15.393820359281436
628,11,18.9588085106383
636,11,17.96558139534884
652,11,17.87166831194472
653,11,19.104605678233437
654,11,19.880390879478828
657,11,19.032899408284024
661,11,22.32
663,11,20.241021276595742
664,11,22.32
665,11,22.32
666,11,22.32
668,11,22.32
669,11,22.32
670,11,22.32
675,11,3.060979020979021
681,11,5.470830564784053
683,11,10.556230366492148
687,11,10.42859375
688,11,10.608888888888888
689,11,12.962524654832347
691,11,17.685014245014244
697,11,17.36
701,11,22.32
704,11,3.1834368530020707
705,11,3.158832116788321
706,11,2.5385407725321887
707,11,2.9338867924528302
708,11,3.646092715231788
709,11,3.7199999999999998
710,11,5.619475655430712
711,11,5.610728862973761
712,11,5.624575163398693
714,11,5.603929824561403
715,11,5.542260869565217
716,11,8.187559808612441
717,11,8.045581395348837
718,11,8.012307692307692
720,11,8.098461538461539
721,11,8.029799426934098
722,11,7.6887106017191975
736,11,10.476176470588236
737,11,10.362857142857143
738,11,12.891089108910892
739,11,12.985766871165644
740,11,13.006343612334803
743,11,17.897333333333332
744,11,18.6
745,11,20.11943661971831
746,11,22.32
747,11,22.32
748,11,22.32
749,11,22.32
750,11,22.32
751,11,22.32
17,12,2.48
18,12,3.0741267387944355
19,12,4.354700139470014
35,12,2.648227571115974
50,12,3.8817391304347826
68,12,2.48
85,12,3.220104712041885
93,12,5.167861271676301
267,12,5.5845925925925926
308,12,5.540740740740741
311,12,4.459518072289156
355,12,5.57897520661157
376,12,8.390977443609023
377,12,8.039641791044776
401,12,7.144108241082411
404,12,7.184607046070461
409,12,5.193020134228188
412,12,5.506936026936027
421,12,10.280000000000001
422,12,9.36439918533605
451,12,8.68
453,12,7.927554179566563
471,12,10.231370468611848
473,12,12.922105263157894
488,12,7.522194285714286
512,12,10.480952380952381
513,12,10.444541213063765
538,12,10.373814432989692
539,12,11.265359477124182
558,12,13.150825688073393
564,12,14.879999999999999
588,12,15.413774834437087
594,12,12.94014659685864
595,12,12.872258064516128
596,12,13.1353706505295
601,12,17.205962732919254
605,12,17.96298039215686
608,12,16.20521739130435
620,12,15.30091743119266
621,12,17.03875647668394
625,12,15.529854423292274
632,12,20.137309941520467
651,12,16.832579185520363
652,12,17.88009478672986
654,12,19.322914979757083
657,12,22.32
663,12,19.972519083969466
664,12,22.32
665,12,22.32
666,12,22.32
668,12,22.32
669,12,22.32
670,12,22.32
676,12,5.590508474576271
688,12,11.103119266055046
691,12,14.34893970893971
697,12,17.921509433962264
701,12,21.662756183745582
709,12,2.980491591203105
712,12,5.859915611814346
715,12,5.554548440065681
717,12,8.068122270742357
721,12,8.115948434622469
722,12,7.724864864864865
724,12,7.932213740458016
738,12,12.90859375
740,12,14.655032397408208
747,12,22.32
749,12,22.32
750,12,22.32
751,12,22.32
752,12,0.5166666666666667
753,12,4.191759398496241
754,12,2.9034146341463414
755,12,5.597492163009404
756,12,5.604799999999999
759,12,5.422933333333333
767,12,5.6287142857142864
768,12,5.834244604316547
769,12,5.396347438752784
770,12,8.040840543881336
772,12,8.065040650406504
774,12,8.358518518518519
775,12,10.536915422885572
