label,t,centroid_z
1,9,0.0
2,9,0.0
3,9,0.0
4,9,0.0
5,9,0.20666666666666667
6,9,0.0
7,9,0.0
8,9,0.0
9,9,0.0
10,9,0.0
11,9,0.0
12,9,0.0
13,9,0.0
14,9,0.0
15,9,0.0
16,9,0.0
17,9,0.0
18,9,0.0
19,9,0.20666666666666667
20,9,2.9041330166270782
22,9,3.0895622895622896
23,9,4.145858585858586
26,9,3.4229166666666666
31,9,4.423461538461539
32,9,4.372189616252822
35,9,2.9636514522821575
39,9,2.1257142857142854
40,9,3.0433580246913583
48,9,3.9773
53,9,3.185846153846154
58,9,3.7810407876230663
61,9,3.844832214765101
62,9,3.2094117647058824
72,9,3.4410840108401084
77,9,3.8188405797101446
90,9,3.776880733944954
96,9,3.6230940988835725
98,9,4.2695454545454545
110,9,3.5328301886792453
114,9,4.018330605564648
122,9,3.0764556962025313
123,9,4.190693877551021
140,9,5.5209046849757675
183,9,6.589964664310953
190,9,5.601379310344828
191,9,5.499130434782609
192,9,5.491428571428572
217,9,5.494799154334038
231,9,5.355424610051993
237,9,5.473674832962137
238,9,5.5370297029702975
239,9,5.352666666666666
267,9,5.588104575163398
274,9,5.412154696132596
275,9,4.96
276,9,5.5837424547283705
277,9,5.632679738562091
278,9,6.2
279,9,6.2
280,9,8.06243137254902
286,9,7.688921933085502
287,9,8.824466019417475
288,9,7.974153846153847
294,9,8.000076555023924
303,9,8.08964656964657
314,9,8.153424657534247
321,9,7.860714285714286
322,9,8.639026086956521
334,9,8.021028571428571
350,9,7.925322896281801
351,9,9.637605839416059
352,9,9.23699558173785
376,9,8.344166666666666
383,9,8.088535564853556
384,9,8.003636363636364
385,9,8.082577030812324
386,9,7.946387434554974
387,9,10.483303834808261
388,9,12.491512915129151
396,9,10.545723076923077
411,9,11.294457831325301
412,9,10.818162162162162
413,9,10.487320261437908
418,9,10.35153039832285
422,9,10.411006711409396
429,9,10.96055944055944
432,9,10.692459016393443
434,9,10.666818181818181
436,9,11.146015037593985
442,9,11.172117263843647
446,9,11.242666666666667
452,9,12.166300984528833
453,9,10.626111111111111
454,9,10.553984962406014
455,9,10.517590361445784
456,9,10.836305220883535
457,9,10.198367346938776
458,9,10.52646288209607
459,9,10.456216216216214
460,9,12.969937888198757
472,9,13.14374353671148
477,9,12.943426294820716
478,9,15.093588516746411
479,9,12.94944612286002
480,9,14.332093023255814
483,9,15.359368836291912
487,9,12.874362416107381
488,9,14.776666666666666
492,9,14.21399293286219
503,9,13.033324905183312
504,9,13.016
505,9,13.003684210526314
506,9,13.066924315619968
507,9,13.112814371257484
508,9,12.925892857142857
509,9,12.52047393364929
510,9,12.896657824933687
511,9,13.977106518282987
512,9,13.64
513,9,15.909627586206897
514,9,15.113962264150944
519,9,16.99287009063444
523,9,15.422057142857144
524,9,15.389777777777779
525,9,15.501896024464832
526,9,15.43372921615202
531,9,15.100613496932516
532,9,17.32868686868687
533,9,15.478725490196078
534,9,15.554337078651685
535,9,15.631171993911721
536,9,16.12
539,9,19.06279202279202
540,9,19.407556142668426
541,9,17.953166287015943
542,9,18.552067226890756
543,9,18.349930458970793
544,9,18.05407528641571
551,9,18.788191268191266
552,9,17.920357941834453
553,9,18.009127516778523
556,9,19.64472440944882
558,9,18.001565217391306
564,9,19.63553191489362
565,9,18.328191999999998
566,9,17.911832460732985
567,9,18.6
569,9,20.41230769230769
