label,t,centroid_z
1,9,0.0
2,9,0.0
10,9,3.0518189581554225
11,9,4.501162079510704
16,9,2.48
47,9,3.643185840707965
50,9,2.48
52,9,3.422945054945055
68,9,4.224723618090452
74,9,2.48
75,9,3.533733905579399
83,9,2.48
84,9,2.9169661610268376
85,9,2.93427408412483
90,9,5.165595854922279
106,9,6.394013605442177
159,9,5.537327935222672
182,9,5.363470715835142
232,9,5.265558739255014
233,9,5.4726256983240225
298,9,5.194947368421052
299,9,5.138121546961326
300,9,5.471650485436893
301,9,6.2
302,9,6.182285714285714
309,9,7.171891891891892
317,9,7.975454545454546
319,9,7.837044334975369
338,9,7.8742185663924795
345,9,7.758779956427015
364,9,7.945382631126397
365,9,8.949565217391305
366,9,7.829019607843137
367,9,7.782669789227166
368,9,10.06842219804135
378,9,10.326688102893891
400,9,10.650947368421052
402,9,10.718926174496644
404,9,11.24750430292599
408,9,10.608888888888888
409,9,9.92
432,9,10.541635883905013
440,9,10.458972099853156
458,9,11.920756756756758
459,9,10.455068493150685
460,9,10.380485436893203
461,9,10.4
462,9,12.482666666666667
463,9,11.16
475,9,12.966666666666667
480,9,12.94821052631579
481,9,12.4
482,9,14.037953488372091
484,9,12.937093023255812
492,9,12.818964577656674
507,9,12.934276527331189
508,9,12.993573770491803
509,9,12.940825147347741
510,9,14.549475494411007
511,9,13.187764705882353
515,9,15.596444444444444
522,9,16.077966101694916
524,9,16.013245033112582
531,9,15.392209150326797
532,9,15.33917903930131
533,9,16.17804255319149
534,9,17.104787472035795
541,9,19.06012578616352
551,9,19.469467455621302
552,9,17.981203883495144
553,9,18.02785591766724
561,9,17.36
567,9,17.876666666666665
569,9,17.780917431192663
574,9,17.996173913043478
576,9,18.0
582,9,19.699343283582092
583,9,17.895
585,9,18.873068592057763
587,9,20.181893004115228
592,9,20.26986666666667
593,9,20.120116845180135
594,9,20.007191011235953
595,9,20.224
597,9,21.08
598,9,21.493333333333332
599,9,22.32
600,9,22.32
601,9,22.32
602,9,22.32
603,9,22.32
1,10,0.0
2,10,0.0
18,10,2.48
44,10,5.048391038696538
50,10,2.453043478260869
52,10,4.38
75,10,4.4
83,10,2.48
84,10,2.8641717791411043
85,10,2.924984984984985
105,10,6.0279917184265015
143,10,5.4596336996337
165,10,5.283478260869566
182,10,5.283208020050126
228,10,5.530831721470019
231,10,5.472769830949285
233,10,5.634636015325671
236,10,8.51145631067961
269,10,5.3736763485477175
272,10,5.188532423208191
300,10,5.4740170940170945
302,10,6.270188679245282
340,10,8.03280701754386
347,10,9.621522123893806
365,10,8.857142857142858
366,10,7.826376811594203
367,10,7.820293637846656
369,10,9.980121212121212
374,10,11.16
398,10,10.2590625
403,10,12.905185185185184
409,10,10.649663503019845
432,10,10.271965065502185
438,10,10.67017793594306
459,10,10.418612818261634
460,10,10.432202318229717
461,10,10.517200474495848
463,10,11.103119266055046
475,10,12.93448275862069
476,10,12.971858823529411
484,10,12.95111111111111
485,10,10.790638297872341
496,10,13.038343195266274
507,10,12.702986425339365
509,10,12.934507531865586
510,10,12.652073921971253
511,10,12.910588235294117
520,10,18.986937590711175
522,10,15.438377281947261
524,10,15.615754475703325
531,10,15.50882276843467
532,10,12.885409252669039
541,10,20.700000000000003
542,10,21.08
551,10,19.63115789473684
552,10,17.86460567823344
555,10,16.212114285714286
562,10,14.959816091954023
563,10,21.08
568,10,20.317629629629632
