label,t,centroid_z
2,9,2.731535968891769
4,9,0.0
5,9,0.0
21,9,3.1153029169783095
23,9,2.8744308943089427
103,9,2.287552
104,9,3.811827731092437
163,9,5.104964028776979
210,9,4.598642714570858
223,9,4.069441964285714
224,9,4.839087136929461
303,9,5.8274632034632035
307,9,6.213446940356313
308,9,5.746666666666667
326,9,4.96
328,9,5.361550741163056
334,9,6.2
335,9,6.700072992700729
345,9,6.911823745410037
346,9,6.959517795637199
367,9,6.2
374,9,8.382607655502392
417,9,7.04574358974359
434,9,8.696011477761836
436,9,7.4399999999999995
437,9,7.4399999999999995
458,9,7.4399999999999995
459,9,9.676290657439447
460,9,8.68
494,9,9.401819583654587
543,9,9.92
546,9,11.10709798406001
547,9,9.92
548,9,11.16
575,9,11.961837455830388
577,9,12.507986145472538
583,9,11.322828282828283
586,9,11.16
587,9,11.802564991334489
588,9,11.16
600,9,12.4
608,9,13.16892674616695
609,9,12.4
613,9,14.777394366197182
614,9,14.806566716641678
615,9,14.044897959183674
617,9,14.926148867313916
618,9,13.64
619,9,13.64
626,9,14.166415094339621
640,9,16.12
645,9,18.253895582329317
647,9,17.40012944983819
648,9,17.73951115834219
649,9,18.222363636363635
650,9,18.145333333333333
651,9,18.105
652,9,18.357113402061856
657,9,17.998047945205478
659,9,19.273442253521125
661,9,19.460038910505837
664,9,19.84
665,9,20.443191324554608
666,9,21.08
667,9,21.08
668,9,21.08
669,9,22.033098039215687
670,9,23.56
671,9,23.56
672,9,23.56
673,9,23.56
674,9,23.56
675,9,23.56
676,9,23.56
5,10,0.0
163,10,4.734999999999999
189,10,7.2709090909090905
307,10,6.601842732327244
308,10,5.794564755838641
314,10,4.019971870604782
326,10,4.20149802890933
327,10,4.327951138256524
334,10,6.2
345,10,6.6048058252427175
346,10,7.3902578796561595
347,10,7.035071770334928
360,10,7.878579545454545
367,10,6.2
374,10,7.5984603541185525
417,10,7.057122807017544
437,10,7.778181818181817
449,10,9.210609981515711
458,10,7.4399999999999995
460,10,8.072416555407209
486,10,9.393910355486863
537,10,12.111106382978724
542,10,10.35268085106383
543,10,9.92
545,10,11.16
548,10,10.857231726283048
550,10,9.517157360406092
551,10,11.022739212007506
577,10,12.91495867768595
583,10,10.699349046015714
586,10,11.16
587,10,11.819557291666666
588,10,11.16
601,10,13.479695817490494
608,10,13.64
611,10,18.091155378486054
616,10,12.4
618,10,12.906243050039713
626,10,14.08959561343386
637,10,16.12
640,10,17.36
645,10,18.6
657,10,17.978764940239042
659,10,19.105485074626866
661,10,19.339287410926367
665,10,20.56374306106265
667,10,21.08
669,10,23.072519083969464
673,10,23.56
674,10,23.56
678,10,3.3353898305084746
679,10,4.96
681,10,6.2
682,10,7.4399999999999995
683,10,7.4399999999999995
684,10,7.623873957367933
687,10,9.033296089385475
688,10,8.68
689,10,9.92
690,10,10.299342105263158
691,10,9.92
692,10,12.4
693,10,15.850655737704917
694,10,19.23817314246762
696,10,23.56
697,10,23.56
2,11,2.468393135725429
5,11,0.0
32,11,3.34172366621067
