label,t,centroid_z
472,9,9.635251739664346
472,10,9.252626112759643
616,10,18.59024901703801
366,12,8.241999254009698
366,13,8.02840621611854
113,14,5.552213671344499
561,22,16.03665187064046
767,23,4.148506329113924
142,24,3.1618520286396183
708,25,5.835919003115264
317,26,9.489294685990338
578,26,15.526545454545454
578,27,15.843182598740698
578,28,16.227671075330647
126,29,5.351660424469413
366,29,9.242559694364852
578,29,16.254994388327724
228,30,11.238140495867768
228,31,12.168922018348622
430,31,8.933463892288861
562,31,19.894015151515152
28,32,7.843907056798623
329,32,6.062934712346477
430,32,9.867572069186417
76,33,8.00994617868676
430,33,10.547391511683356
245,34,9.80780031201248
666,34,21.325229050279333
1420,34,9.290113895216402
1592,35,3.828554277138569
235,36,9.533536191793454
329,36,5.723950294310007
