label,t,centroid_z
1,18,0.0
2,18,0.5166666666666667
3,18,0.5166666666666667
4,18,0.0
5,18,0.0
6,18,0.0
7,18,0.0
8,18,1.077696335078534
53,18,2.705454545454545
78,18,3.296898079763663
122,18,3.0087687687687685
123,18,3.7967326732673263
142,18,3.1672289156626503
148,18,2.784858536585366
162,18,3.023321554770318
184,18,2.48
185,18,3.2484507042253523
193,18,3.0026053639846744
195,18,2.981734104046243
196,18,2.8776371308016877
197,18,2.999316239316239
198,18,2.809908256880734
199,18,3.071705364291433
200,18,2.869832775919732
201,18,2.48
202,18,3.0336391437308867
203,18,5.557372262773723
204,18,5.5236363636363635
260,18,5.522133333333333
262,18,5.5568813559322034
265,18,6.432276657060519
287,18,5.535139146567718
288,18,5.533207547169811
316,18,5.5262100456621
318,18,5.600898876404495
319,18,7.370871080139373
347,18,5.444727272727272
361,18,5.5746086956521745
383,18,5.644137931034483
389,18,5.356086330935251
390,18,6.133173652694611
391,18,6.968343558282209
392,18,5.470588235294118
393,18,6.2
394,18,8.163333333333332
398,18,8.012996389891697
399,18,8.035461741424802
400,18,7.966060606060606
418,18,9.088970976253298
420,18,7.821538461538461
421,18,7.982335456475584
434,18,8.062938388625593
442,18,8.835474006116208
443,18,8.62989898989899
450,18,8.580121580547113
451,18,8.823205013428828
461,18,8.082360655737705
488,18,8.683415977961433
494,18,8.051806167400882
495,18,7.904622871046229
497,18,8.061117117117117
504,18,7.947272727272727
506,18,7.954988399071926
507,18,7.980689655172413
508,18,7.9830065359477125
509,18,7.901960784313725
510,18,10.527474747474747
517,18,10.524664310954064
536,18,11.326492985971942
537,18,11.529220917822839
571,18,10.434878892733563
588,18,11.048955223880597
593,18,10.582135922330098
602,18,10.416
608,18,10.960987654320988
624,18,10.437410071942445
628,18,10.441008403361344
629,18,11.906631299734748
636,18,10.517117750439368
637,18,10.472417061611376
638,18,10.410964467005074
639,18,10.43766990291262
640,18,10.43744864864865
641,18,11.16
642,18,13.108571428571429
663,18,13.19837187789084
670,18,12.962095671981777
683,18,13.037222222222223
684,18,12.4
685,18,12.862933333333332
686,18,12.918892307692309
687,18,12.540212014134276
688,18,14.894269275028769
689,18,13.64
698,18,15.706666666666665
704,18,16.414237288135592
706,18,15.551528150134049
707,18,17.19843648208469
711,18,16.271689320388347
719,18,16.08693333333333
720,18,15.508920863309353
721,18,15.549646182495346
722,18,16.12
723,18,16.12
728,18,17.892688477951637
729,18,18.124229607250754
735,18,17.95941567065073
736,18,17.87271056661562
743,18,17.955718015665795
745,18,19.36620895522388
752,18,17.76760396039604
753,18,18.774127659574468
754,18,17.900851063829787
755,18,18.05560975609756
756,18,19.385466237942122
757,18,18.6
761,18,20.311099050203527
765,18,20.528517520215633
768,18,20.122238805970152
769,18,22.21918699186992
770,18,21.08
771,18,21.73542857142857
772,18,21.99245283018868
773,18,22.32
774,18,22.32
775,18,22.32
776,18,22.32
777,18,22.32
780,18,22.32
781,18,22.32
782,18,22.32
783,18,22.32
784,18,22.32
785,18,22.32
786,18,22.32
787,18,22.32
788,18,22.32
789,18,22.32
790,18,22.32
4,19,0.0
5,19,0.0
8,19,0.0
32,19,2.48
53,19,2.876608863198458
77,19,6.2
78,19,5.52736690647482
89,19,6.2
101,19,6.233513513513514
113,19,3.019494097807757
114,19,2.931232091690544
122,19,2.9123570432357044
161,19,6.2
162,19,3.083349131121643
184,19,2.7434432234432236
197,19,2.987446153846154
199,19,3.029261744966443
200,19,2.8753941541186894
202,19,2.8422471910112357
230,19,8.68
241,19,5.431326530612244
242,19,5.483943661971831
260,19,5.571142857142857
268,19,6.778666666666667
287,19,5.5703875968992245
288,19,5.48828402366864
316,19,4.953632862644416
318,19,5.5514644351464435
319,19,5.938654708520179
322,19,8.677669172932331
347,19,5.522754303599374
348,19,6.3127272727272725
390,19,5.6544
391,19,5.486060606060605
392,19,5.4312
394,19,7.3503614457831326
398,19,8.030741573033707
399,19,8.058319783197833
421,19,8.002618510158014
424,19,8.027137809187279
434,19,8.105134099616858
450,19,8.786285714285714
451,19,9.553755274261603
469,19,7.860109289617486
482,19,10.329320388349515
483,19,13.15567867036011
497,19,7.903345195729537
506,19,7.978809523809524
508,19,7.9830065359477125
509,19,7.935213946117274
517,19,10.452013201320131
531,19,10.382933333333334
571,19,10.620158311345646
588,19,11.556336448598131
595,19,11.258936170212767
596,19,11.30798353909465
603,19,10.504592952612395
607,19,12.368902821316615
608,19,10.455370919881306
