label,t,centroid_z
3,18,2.402125603864734
5,18,2.6866666666666665
30,18,2.6555752212389385
61,18,3.228808864265928
63,18,3.7288571428571426
159,18,4.0889
176,18,4.442105263157894
181,18,4.772121212121212
189,18,4.635581395348837
208,18,4.766834170854271
220,18,5.265507246376812
230,18,6.153644859813085
235,18,4.96
236,18,4.96
237,18,5.832592592592592
238,18,5.777109826589595
241,18,6.2
257,18,5.503623188405797
264,18,5.887891156462586
265,18,4.96
274,18,6.633451327433629
275,18,6.901190476190476
277,18,6.2
308,18,7.338360655737705
309,18,7.159245283018868
323,18,8.791599999999999
324,18,7.4399999999999995
331,18,7.4399999999999995
332,18,8.504054054054054
379,18,8.105722713864306
402,18,10.286363636363635
430,18,9.267745664739884
445,18,10.771826086956521
446,18,10.594306569343066
454,18,11.35578947368421
455,18,10.370909090909091
461,18,10.672857142857143
467,18,9.92
480,18,9.92
481,18,9.92
483,18,12.294349775784752
484,18,11.16
490,18,12.740503432494279
492,18,11.943157894736842
497,18,11.16
498,18,12.522931034482758
499,18,11.94909090909091
500,18,11.742756183745582
501,18,11.61856603773585
502,18,12.0
512,18,12.4
513,18,13.389047619047618
523,18,13.95825665859564
525,18,14.850708661417324
528,18,14.045607476635515
529,18,13.64
532,18,13.821123595505618
534,18,14.879999999999999
543,18,16.136103896103897
553,18,17.876211453744492
556,18,18.19826530612245
564,18,17.946181818181817
572,18,19.342097186700766
575,18,19.070344827586204
577,18,19.71026763990268
578,18,19.32637254901961
583,18,19.84
585,18,20.439738562091502
586,18,20.637142857142855
587,18,21.2726213592233
590,18,21.08
591,18,21.08
592,18,22.134
594,18,22.32
595,18,23.17846153846154
596,18,23.56
597,18,23.4446511627907
598,18,23.14666666666667
599,18,23.468823529411765
600,18,23.56
601,18,23.56
602,18,23.56
603,18,23.1725
51,19,3.2351557093425605
52,19,3.8827149321266967
61,19,4.1416624685138546
63,19,3.8677570093457945
179,19,3.5118881118881116
181,19,4.96
189,19,5.461734104046243
208,19,4.128383233532934
221,19,5.658770491803279
222,19,5.58
230,19,6.2
235,19,4.96
237,19,5.74872131147541
238,19,5.360615384615384
241,19,5.58
254,19,4.96
264,19,5.896690647482014
265,19,5.35381974248927
275,19,6.8975
276,19,7.0871966527196655
289,19,6.2
308,19,7.4399999999999995
309,19,7.0650171821305845
324,19,7.4399999999999995
332,19,8.68
379,19,7.4399999999999995
428,19,10.8035
445,19,9.875180722891567
461,19,11.09396449704142
469,19,9.995478260869564
481,19,9.92
483,19,12.227074829931972
490,19,12.945394190871369
498,19,12.127533632286996
499,19,11.16
500,19,11.823909348441926
501,19,10.522285714285715
502,19,12.530526315789473
511,19,11.646379310344829
513,19,14.781782178217822
523,19,13.825382059800663
528,19,14.074
529,19,13.64
532,19,13.64
539,19,14.933201320132012
543,19,18.27296703296703
544,19,17.4995
551,19,19.84
564,19,18.18108108108108
566,19,18.501735849056605
572,19,18.99554430379747
575,19,19.513684210526314
577,19,19.303203463203463
578,19,18.395463917525774
585,19,20.696824034334764
586,19,21.08
588,19,21.25072463768116
589,19,21.684422110552763
590,19,21.08
592,19,23.357090909090907
593,19,21.493333333333332
594,19,21.08
596,19,23.56
598,19,23.374000000000002
601,19,23.271627906976743
604,19,3.202145593869732
605,19,4.546666666666667
606,19,6.2
608,19,7.4399999999999995
609,19,8.68
610,19,13.094910025706941
611,19,14.488421052631578
612,19,14.445194805194806
613,19,16.71
614,19,17.36
615,19,19.33625
616,19,21.08
617,19,23.25
3,20,3.054463276836158
5,20,3.2576271186440677
19,20,5.148214285714285
63,20,4.410161662817552
123,20,4.926785714285714
171,20,5.653729729729729
179,20,4.9996588486140725
181,20,4.0887169042769855
189,20,5.832592592592592
208,20,4.96
221,20,5.061494661921708
235,20,4.96
237,20,5.883404255319149
238,20,6.140952380952381
245,20,3.7199999999999998
264,20,5.930434782608695
265,20,5.174615384615385
275,20,7.4399999999999995
276,20,7.038978723404255
277,20,6.2
289,20,9.229007633587786
308,20,6.870557939914163
309,20,7.294117647058824
324,20,7.4399999999999995
332,20,8.735222672064777
379,20,7.4399999999999995
386,20,14.879999999999999
391,20,8.270308370044052
394,20,7.334964705882353
445,20,9.92
461,20,10.5690625
467,20,9.92
469,20,10.412164948453608
481,20,9.392710280373832
483,20,12.4
490,20,12.773804573804576
498,20,12.147511312217196
499,20,11.16
500,20,11.84053872053872
501,20,9.424
502,20,12.610566037735849
510,20,15.131683168316831
511,20,12.018009478672987
513,20,14.589787234042554
523,20,14.15012658227848
529,20,13.64
532,20,13.11098976109215
542,20,16.9725
543,20,18.1954609929078
550,20,16.157014925373137
554,20,16.864818481848186
555,20,16.47127478753541
564,20,18.09303867403315
566,20,18.6
572,20,19.061133786848075
577,20,19.303062200956937
578,20,18.35283783783784
586,20,21.08
590,20,21.874696132596686
592,20,23.382857142857144
593,20,23.418285714285716
596,20,23.242051282051282
598,20,23.44928571428571
601,20,23.205714285714286
604,20,3.257142857142857
606,20,6.2
607,20,8.68
609,20,9.510125523012553
610,20,12.95111111111111
611,20,14.534683544303798
612,20,13.23531380753138
615,20,21.033207547169813
619,20,3.7199999999999998
620,20,4.96
621,20,5.259143968871595
622,20,6.66969696969697
623,20,6.2
624,20,7.832871287128713
625,20,8.06496
626,20,7.4399999999999995
631,20,9.750238095238096
641,20,9.714235807860263
653,20,11.178235294117648
658,20,11.16
659,20,11.16
660,20,11.25447619047619
661,20,11.853421052631578
662,20,17.246782608695653
663,20,16.12
664,20,19.428053691275167
665,20,20.425454545454546
667,20,22.32
668,20,23.56
669,20,23.396842105263158
670,20,23.19259259259259
671,20,23.39090909090909
3,21,1.995625
5,21,0.3024390243902439
61,21,3.7199999999999998
63,21,6.2
157,21,12.8640490797546
179,21,5.188923076923077
181,21,4.125099601593626
189,21,5.808711111111111
221,21,4.7620846905537455
235,21,5.361851851851852
237,21,6.2
238,21,5.860347826086956
264,21,5.807204968944099
275,21,7.08640625
276,21,7.4399999999999995
291,21,10.64026402640264
308,21,7.316398713826366
309,21,7.058798586572437
334,21,7.847299270072993
379,21,8.68
455,21,9.891162790697674
470,21,10.692402234636871
471,21,11.16
481,21,9.92
482,21,13.64
483,21,12.4
485,21,9.92
490,21,12.962095671981777
493,21,13.64
498,21,12.532857142857143
499,21,11.657463126843657
500,21,11.954871794871794
501,21,8.664878048780489
502,21,12.428837209302326
510,21,16.974689265536725
515,21,13.487272727272728
523,21,14.244729064039408
532,21,13.154922279792746
538,21,16.54341463414634
543,21,17.36
564,21,18.113185185185184
566,21,18.6
570,21,17.288035714285716
572,21,18.999423076923076
577,21,19.570723860589812
578,21,20.456852791878173
586,21,19.84
590,21,22.11209580838323
592,21,23.241142857142858
593,21,23.322553191489362
598,21,23.56
601,21,23.323809523809526
604,21,3.097004830917874
606,21,6.2
607,21,8.68
609,21,9.780450160771704
610,21,13.04759643916914
612,21,13.00544600938967
615,21,19.84
621,21,5.4547474747474745
622,21,7.00485488126649
631,21,9.7464
640,21,9.160934579439253
647,21,11.16
653,21,12.373986013986013
658,21,10.753333333333334
661,21,12.012893401015228
666,21,20.41021897810219
667,21,23.56
668,21,23.56
670,21,23.273846153846154
672,21,3.863928571428571
673,21,3.8971428571428572
674,21,4.96
675,21,9.401454545454545
676,21,11.574412532637076
677,21,11.16
678,21,16.241785714285715
679,21,16.882083333333334
680,21,16.34409638554217
681,21,18.6
682,21,19.84
683,21,21.08
684,21,23.348936170212763
3,22,2.9990697674418603
5,22,2.48
20,22,3.2277153558052434
47,22,3.7199999999999998
63,22,6.322167487684729
150,22,7.175697211155378
177,22,4.107172995780591
178,22,3.7199999999999998
182,22,4.198135593220339
183,22,4.257333333333333
203,22,10.055
235,22,4.96
237,22,6.2
242,22,2.1523316062176163
243,22,3.0249327354260087
264,22,5.6744370860927145
275,22,7.010769230769231
280,22,7.250736842105263
290,22,9.168356164383562
291,22,9.178181818181818
309,22,7.057570093457945
328,22,7.7918918918918925
455,22,8.898823529411764
457,22,9.81825641025641
466,22,13.060355029585798
467,22,9.92
470,22,10.912784810126583
481,22,9.559605911330049
483,22,12.454505494505494
485,22,9.92
488,22,11.16
490,22,13.088382352941176
498,22,12.284894514767933
499,22,11.16
500,22,11.967100591715976
501,22,9.92
502,22,12.4
523,22,14.309468085106381
532,22,13.528240343347639
543,22,18.6
552,22,18.00750853242321
564,22,18.016831683168316
566,22,17.467307692307692
570,22,16.12
577,22,19.789239766081874
578,22,18.71498746867168
590,22,21.978835978835978
592,22,23.56
593,22,23.56
598,22,23.56
606,22,6.2
609,22,9.491127819548872
610,22,12.27136929460581
611,22,14.702857142857143
612,22,12.84427807486631
615,22,18.6
621,22,5.817102137767221
626,22,8.295672514619882
640,22,9.92
647,22,8.896436363636363
661,22,12.044125560538115
666,22,20.71063829787234
668,22,22.26575
674,22,4.96
675,22,9.046024096385542
678,22,16.008622754491018
681,22,16.765619834710744
683,22,21.08
685,22,0.41333333333333333
686,22,2.766153846153846
687,22,2.48
688,22,3.7199999999999998
689,22,3.7199999999999998
690,22,3.7199999999999998
692,22,7.4399999999999995
700,22,7.4399999999999995
701,22,8.68
702,22,8.68
703,22,10.766255924170617
705,22,12.435094339622642
706,22,11.16
707,22,16.74
710,22,22.17553398058252
711,22,23.56
712,22,23.1725
713,22,23.212799999999998
33,23,3.178909090909091
52,23,4.96
63,23,6.129142857142857
182,23,4.512137592137592
237,23,6.2
238,23,6.2
246,23,7.293056133056132
261,23,12.244372469635628
264,23,5.7223703703703706
275,23,7.064242424242424
290,23,8.328970588235293
291,23,8.239257294429708
309,23,7.001099656357389
323,23,9.92
328,23,8.150291262135923
466,23,13.35657142857143
470,23,11.966000000000001
471,23,8.226212765957447
481,23,9.92
483,23,12.99479674796748
485,23,10.272992700729928
498,23,12.372687224669603
500,23,11.835710144927535
501,23,9.92
523,23,14.136000000000001
532,23,12.806473029045645
542,23,14.661176470588236
552,23,19.734017094017094
564,23,17.401196013289034
566,23,17.755098039215685
571,23,18.760101265822787
572,23,19.69298969072165
577,23,19.22984126984127
578,23,19.004107142857144
582,23,17.533956834532376
590,23,21.759304347826088
592,23,21.86
593,23,22.635254237288134
598,23,23.56
606,23,6.2
607,23,8.68
609,23,9.770886075949367
621,23,7.4399999999999995
647,23,9.790674846625768
661,23,11.16
667,23,23.347428571428573
668,23,22.16682352941176
674,23,5.095766423357665
681,23,16.980408163265306
683,23,21.033731343283584
692,23,8.199325842696629
706,23,10.76471615720524
707,23,15.72375939849624
713,23,23.303448275862067
714,23,3.2931147540983603
715,23,3.7199999999999998
716,23,6.352280701754386
717,23,6.252320675105485
718,23,4.96
719,23,6.2
720,23,8.045354330708662
726,23,7.4399999999999995
727,23,7.4399999999999995
728,23,8.095769230769232
729,23,8.68
730,23,12.31609022556391
731,23,12.4
734,23,13.64
735,23,13.64
736,23,14.742222222222223
737,23,18.22744394618834
740,23,18.014444444444447
744,23,23.159999999999997
3,24,4.430291262135922
20,24,2.8723163841807913
44,24,3.2635920177383593
235,24,4.96
237,24,6.2
264,24,5.946024096385543
275,24,7.4399999999999995
290,24,9.297194570135746
291,24,9.592670807453416
309,24,7.5088888888888885
427,24,11.16
465,24,8.0848
466,24,13.64
470,24,11.498181818181818
481,24,9.92
483,24,12.594710743801654
485,24,10.724095563139931
488,24,11.16
498,24,12.653511111111111
500,24,12.018181818181818
523,24,14.004126984126986
532,24,12.628220858895705
535,24,16.388383561643835
550,24,19.84
557,24,17.36
564,24,17.349623430962342
567,24,18.80290909090909
568,24,19.421192052980132
572,24,21.824
577,24,19.894207650273223
578,24,18.121476510067115
590,24,23.48369230769231
592,24,21.864489795918367
593,24,22.165
598,24,23.332244897959182
607,24,7.885625
609,24,10.168654353562005
626,24,7.4399999999999995
